,index,id,title,popularity,tag1,tag2
10,10,13,Forrest Gump,92.693,notadult en comedy drama romance vietnamwar vietnamveteran mentallydisabled friendship usapresident washingtondc usa post-traumaticstressdisorder(ptsd) waitress china basedonnovelorbook hippie singleparent parentchildrelationship optimism 1970s drugaddiction autism alabama blackpantherparty busstop familyrelationships singlemother military antiwarprotest 1960s collegeamericanfootball mothersonrelationship loving feel-goodenglish,man low iq accomplish great thing life present signific histor case far exceed anyon imagin could despit achiev one true love elud
11,11,671,Harry Potter and the Philosopher's Stone,185.482,notadult en adventure fantasy witch schoolfriend friendship london england basedonnovelorbook magic boardingschool childhero schoolofwitchcraft chosenone school shopping fantasyworld wizard christmas basedonyoungadultnovel owl wizardingworldenglish,harri potter live stair aunt uncl hous whole life 11th birthday learn power place wait hogwart school witchcraft wizardri learn har newfound power help school kindli headmast harri uncov truth parent villain blame
12,12,1726,Iron Man,72.897,notadult en action sciencefiction adventure middleeast superhero armsdealer malibu basedoncomic aftercreditsstinger marvelcinematicuniverse(mcu) counterterrorismenglish persian urdu arabic,held captiv afghan cave billionair engin toni stark creat uniqu weapon suit armor fight evil
13,13,68718,Django Unchained,54.224,notadult en drama western rescue friendship bountyhunter texas slavery plantation rivalry revenge shootout racism kindness dentist django slavetrade aftercreditsstinger blackslave agreement 19thcentury chattanooga german cottonplantation plantationowner oldwest western 1850s mississippienglish french german,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner
14,14,278,The Shawshank Redemption,122.61,notadult en drama crime prison friendship policebrutality corruption basedonnovelorbook hope prisoncell delinquent redemption paroleboard prisonescape wrongfulimprisonment interracialfriendship framedformurder 1940s voiceoverenglish,frame 1940 doubl murder wife lover upstand banker andi dufresn begin new life shawshank prison put account skill work amor warden long stretch prison dufresn come admir inmat includ older prison name red integr unquench sens hope
15,15,299534,Avengers: Endgame,91.756,notadult en adventure sciencefiction action superhero timetravel spacetravel timemachine basedoncomic sequel alieninvasion superheroteam marvelcinematicuniverse(mcu) alternatetimeline fatherdaughterrelationship sistersisterrelationshipenglish japanese xhosa,devast event aveng infin war univers ruin due effort mad titan thano help remain alli aveng must assembl order undo thano action restor order univers matter consequ may store
16,16,603,The Matrix,78.564,notadult en action sciencefiction manvsmachine martialarts dream artificialintelligence(a.i.) savingtheworld hacker selfsacrifice virtualreality fight prophecy truth philosophy dystopia insurgence simulatedreality cyberpunk dreamworld womandirector messiah actionhero gnosticism complexenglish,set 22nd centuri matrix tell stori comput hacker join group underground insurg fight vast power comput rule earth
17,17,597,Titanic,102.348,notadult en drama romance epic ship drowning panic shipwreck evacuation iceberg titanic forbiddenlove oceanliner basedontruestory richwomanpoorman love tragedy tragiclove disaster historicalfiction classdifferences loveaffair historicalevent lifeboat starcrossedlovers sinkingship steerage richsnob disastermovie 1910s sunkenship absurd sinister romantic tragicenglish french german swedish italian russian,rose dewitt bukat tell stori life aboard titan 84 year later young rose board ship mother fiancé meanwhil jack dawson fabrizio de rossi win ticket aboard ship rose tell whole stori titan departur first last april 15 1912
18,18,475557,Joker,54.522,notadult en crime thriller drama dream streetgang society psychopath clown villain basedoncomic murder psychologicalthriller criminalmastermind mentalillness anarchy characterstudy clownmakeup subwaytrain socialrealism supervillain tvhost 1980s mothersonrelationship originstory fallingintomadness depressingenglish,1980 fail comedian driven insan turn life crime chao gotham citi becom infam psychopath crime figur
19,19,120,The Lord of the Rings: The Fellowship of the Ring,87.037,notadult en adventure fantasy action basedonnovelorbook orcs elves dwarf magic lossoflovedone river fireworks mine maze mountain newzealand castle volcano birthdayparty addiction uncle fugitive battle death blizzard wizard journey ring liveactionandanimation swordandsorcery nzenglish,young hobbit frodo baggin inherit mysteri ring uncl bilbo must leav home order keep fall hand evil creator along way fellowship form protect ringbear make sure ring arriv final destin mt doom place destroy
20,20,122,The Lord of the Rings: The Return of the King,99.276,notadult en adventure fantasy action basedonnovelorbook orcs elves dwarf bravery suspicion volcano addiction honor royalty troll brutality ghost wizard quest liveactionandanimation swordandsorceryenglish,aragorn reveal heir ancient king gandalf member broken fellowship struggl save gondor sauron forc meanwhil frodo sam take ring closer heart mordor dark lord realm
21,21,11324,Shutter Island,56.595,notadult en drama thriller mystery island basedonnovelorbook hurricane investigation u.s.marshal conspiracytheory psychiatrichospital psychologicalthriller whodunit neo-noir 1950senglish german,world war ii marshal teddi daniel investig disappear patient hospit crimin insan effort compromis troubl vision mysteri doctor
22,22,106646,The Wolf of Wall Street,97.444,notadult en crime drama comedy corruption drugaddiction antihero conman fraud wallstreet basedontruestory riseandfall conartist money stockbroker wealthy drugs stripping hedonism decadence corrupt 1980s sharemarketfraud financialmarket blackmonday joyfulenglish french,new york stockbrok refus cooper larg secur fraud case involv corrupt wall street corpor bank world mob infiltr base jordan belfort autobiographi
23,23,99861,Avengers: Age of Ultron,96.565,notadult en action adventure sciencefiction artificialintelligence(a.i.) superhero basedoncomic sequel superheroteam duringcreditsstinger marvelcinematicuniverse(mcu) fictitiouscountry evilrobotenglish,toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur
24,24,271110,Captain America: Civil War,70.741,notadult en adventure action sciencefiction civilwar superhero basedoncomic sequel aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu) excitedromanian english german russian,follow event age ultron collect govern world pass act design regul superhuman activ polar opinion amongst aveng caus two faction side iron man captain america caus epic battl former alli
25,25,49026,The Dark Knight Rises,76.914,notadult en action crime drama thriller fight burglar hostage secretidentity crimefighter superhero villainess timebomb basedoncomic cover-up vigilante tragichero mobile terrorism destruction fighting criminalunderworld catburglar floodenglish,follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi
26,26,68721,Iron Man 3,61.06,notadult en action adventure sciencefiction california waronterror superhero malibu basedoncomic tennessee billionaire aftercreditsstinger marvelcinematicuniverse(mcu) christmas americaenglish,toni stark world torn apart formid terrorist call mandarin start odyssey rebuild retribut
27,27,284054,Black Panther,43.665,notadult en action adventure sciencefiction africa superhero basedoncomic aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english korean swahili xhosa,king return home reclus technolog advanc african nation wakanda serv countri new leader howev soon find challeng throne faction within countri well without use power reserv wakandan king assum black panther mantl join nakia sister member dora milaj wakandan forc american secret agent prevent wakanda drag world war
28,28,284052,Doctor Strange,70.535,notadult en action adventure fantasy magic superhero training time basedoncomic sorcerer doctor neurosurgeon wizard aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english,career destroy brilliant arrog surgeon get new leas life sorcer take wing train defend world evil
29,29,76341,Mad Max: Fury Road,78.319,notadult en action adventure sciencefiction rescue future australia chase dystopia post-apocalypticfuture survival ontherun ontheroad convoy peakoil darkfutureenglish,apocalypt stori set furthest reach planet stark desert landscap human broken everyon craze fight necess life within world exist two rebel run might abl restor order
30,30,16869,Inglourious Basterds,59.162,notadult en drama thriller war guerrillawarfare swastika paris france nazi selfsacrifice sadism dynamite mexicanstandoff worldwarii jewpersecution masochism anti-semitism germanoccupationoffrance britishpolitics revisionisthistory adolfhitlergerman english french italian,franc world war ii group soldier known basterd chosen specif spread fear throughout third reich scalp brutal kill nazi basterd lead aldo rain soon cross path teenag girl run movi theater pari target soldier
31,31,70160,The Hunger Games,29.577,notadult en sciencefiction adventure fantasy basedonnovelorbook revolution dystopia femaleprotagonist bowandarrow game archery deathmatch forcedtokill basedonyoungadultnovelenglish,everi year ruin north america nation panem forc twelv district send teenag boy girl compet hunger game part twist entertain part govern intimid tactic hunger game nation televis event tribut must fight one anoth one survivor remain pit tribut prepar game entir live katniss forc reli upon sharp instinct well mentorship drunken former victor haymitch abernathi ever return home district 12 katniss must make imposs choic arena weigh surviv human life love world watch
32,32,315635,Spider-Man: Homecoming,65.88,notadult en action adventure sciencefiction drama highschool newyorkcity washingtondc usa superhero basedoncomic reboot aftercreditsstinger marvelcinematicuniverse(mcu)english,follow event captain america civil war peter parker help mentor toni stark tri balanc life ordinari high school student queen new york citi fight crime superhero alter ego new threat vultur emerg
33,33,672,Harry Potter and the Chamber of Secrets,121.699,notadult en adventure fantasy witch flyingcar elves magic sword diary childhero schoolofwitchcraft giantspider blackmagic giantsnake childdrivingcar wizard aftercreditsstinger christmas basedonyoungadultnovel wizardingworldenglish,car fli tree fight back mysteri come warn harri potter start second year hogwart adventur danger await bloodi write wall announc chamber secret open save hogwart requir harri ron hermion magic abil courag
34,34,283995,Guardians of the Galaxy Vol. 2,67.553,notadult en sciencefiction adventure action superhero basedoncomic sequel misfit space aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english,guardian must fight keep newfound famili togeth unravel mysteri peter quill true parentag
35,35,121,The Lord of the Rings: The Two Towers,78.73,notadult en adventure fantasy action mission army basedonnovelorbook funeral orcs elves dwarf explosive fort cave siege addiction attack dragon guide death splitpersonality wizard ring liveactionandanimation swordandsorceryenglish,frodo sam trek mordor destroy one ring power gimli legola aragorn search merri pippin along nefari wizard saruman await fellowship member orthanc tower isengard
36,36,1771,Captain America: The First Avenger,43.665,notadult en action adventure sciencefiction newyorkcity nazi superhero worldwarii heroism shield basedoncomic supersoldier perioddrama brooklyn newyorkcity aftercreditsstinger marvelcinematicuniverse(mcu) originstory soldiers warfrench norwegian english,world war ii steve roger sickli man brooklyn transform captain america aid war effort roger must stop red skull adolf hitler ruthless head weaponri leader organ intend use mysteri devic untold power world domin
37,37,297761,Suicide Squad,35.356,notadult en action adventure fantasy secretmission superhero antihero villain supervillain dcextendeduniverse(dceu)english japanese spanish,dc comic come suicid squad antihero team incarcer supervillain act deniabl asset unit state govern undertak black op mission exchang commut prison sentenc
38,38,673,Harry Potter and the Prisoner of Azkaban,124.386,notadult en adventure fantasy witch schoolfriend friendship flying magic bus traitor childhero schoolofwitchcraft blackmagic timetravel school bestfriend werewolf muggle wizard aftercreditsstinger magicalcreature nightbus teenagelife christmas schoolclass basedonyoungadultnovel magicspell wizardingworldenglish,year three hogwart mean new fun challeng harri learn delic art approach hippogriff transform boggart hilar even turn back time term also bring danger dementor hover school alli accurs lurk within castl wall fearsom wizard siriu black escap azkaban harri confront
39,39,10195,Thor,51.277,notadult en adventure fantasy action newmexico superhero redemption banishment basedoncomic brotheragainstbrother norsemythology aftercreditsstinger marvelcinematicuniverse(mcu) worldscollide godofthunder fantasyenglish,father odin mighti thor power arrog warrior god recklessli reignit ancient war thor cast earth forc live among human punish thor learn take true hero danger villain world send darkest forc asgard invad earth
40,40,10138,Iron Man 2,84.445,notadult en adventure action sciencefiction technology superhero malibu basedoncomic revenge aftercreditsstinger marvelcinematicuniverse(mcu) breakoutenglish russian french,world awar dual life armor superhero iron man billionair inventor toni stark face pressur govern press public share technolog militari unwil let go invent stark pepper pott jame rhode side must forg new allianc confront power enemi
41,41,272,Batman Begins,66.286,notadult en action crime drama martialarts undercover lossoflovedone secretidentity crimefighter superhero basedoncomic rivalry ninja vigilante tragichero superpower hauntedbythepast evildoctor mastervillain unfulfilledloveenglish urdu mandarin,driven tragedi billionair bruce wayn dedic life uncov defeat corrupt plagu home gotham citi unabl work within system instead creat new ident symbol fear crimin underworld batman
42,42,284053,Thor: Ragnarok,45.2,notadult en action adventure sciencefiction superhero basedoncomic sequel alienplanet femalevillain norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu) norsegod lokienglish,thor imprison side univers find race time get back asgard stop ragnarok destruct end asgardian civil hand power new threat ruthless hela
43,43,150540,Inside Out,107.292,notadult en animation family adventure drama comedy dream sanfrancisco california minnesota sadness cartoon icehockey imaginaryfriend elementaryschool familyrelationships memory family unicorn runningaway duringcreditsstinger emotionsenglish,grow bumpi road except riley uproot midwest life father start new job san francisco riley guid joy fear anger disgust headquart control centr insid riley mind help advis everyday life tri keep thing posit emot conflict best navig new citi hous school
44,44,135397,Jurassic World,54.089,notadult en action adventure sciencefiction thriller island primalfear escape velociraptor dna tyrannosaurusrex animalattack sequel dinosaur creature park amusementpark themepark geneticengineering raptor animalhorror mosasaurusenglish,year event jurass park isla nublar featur fulli function dinosaur theme park jurass world origin envis john hammond
45,45,807,Se7en,53.521,notadult en crime mystery thriller drugdealer rageandhate police s.w.a.t. sadism self-fulfillingprophecy psychopath detective rain investigation pension evisceration prideandvanity immoderateness insomnia murder serialkiller religion sevendeadlysins depravity neo-noirenglish,two homicid detect desper hunt serial killer whose crime base seven deadli sin dark haunt film take viewer tortur remain one victim next season det sommerset research sin effort get insid killer mind novic partner mill scoff effort unravel case
46,46,674,Harry Potter and the Goblet of Fire,134.276,notadult en adventure fantasy witch dyinganddeath basedonnovelorbook magic boardingschool worldcup maze mermaid schoolofwitchcraft blackmagic chosenone vision school tournament dragon wizard teenagehero christmas basedonyoungadultnovel wizardingworldenglish french,harri potter name emerg goblet fire becom competitor gruel battl glori among three wizard triwizard tournament sinc harri never submit name tournament harri must confront deadli dragon fierc water demon enchant maze find cruel grasp must name
47,47,22,Pirates of the Caribbean: The Curse of the Black Pearl,80.509,notadult en adventure fantasy action blacksmith eastindiacompany gold exoticisland governor skeleton jamaica britishempire pirate swashbuckler 18thcentury caribbeansea aftercreditsstinger pirateship britishnavy tortuga basedonthemeparkrideenglish,jack sparrow freewheel pirat quarrel rival pirat bent pillag port royal governor daughter kidnap sparrow decid help girl love save
48,48,12445,Harry Potter and the Deathly Hallows: Part 2,110.974,notadult en fantasy adventure witch dyinganddeath savingtheworld selfsacrifice magic schoolofwitchcraft sorcerer school battle wizard teenagehero christmas basedonyoungadultnovel goodversusevil wizardingworldenglish,harri ron hermion continu quest vanquish evil voldemort thing begin look hopeless young wizard harri discov trio magic object endow power rival voldemort formid skill
49,49,11,Star Wars,88.559,notadult en adventure action sciencefiction empire galaxy rebellion android hermit smuggling(contraband) freedom rebel rescuemission space planet desert superpower oppression spaceopera wizard totalitarianismenglish,princess leia captur held hostag evil imperi forc effort take galact empir venturesom luke skywalk dash captain han solo team togeth loveabl robot duo rescu beauti princess restor peac justic empir
50,50,297762,Wonder Woman,54.628,notadult en action adventure fantasy island hero strongwoman worldwari empowerment superhero feminism greekmythology basedoncomic femaleprotagonist perioddrama superpower heroine womandirector femaleempowerment 1910s dcextendeduniverse(dceu)german english,amazon princess come world man grip first world war confront forc evil bring end human conflict
51,51,14160,Up,90.968,notadult en animation comedy family adventure centralandsouthamerica agedifference balloon travel dog duringcreditsstinger pets exploring seniorenglish,carl fredricksen spent entir life dream explor globe experienc life fullest age 78 life seem pass twist fate persist old wilder explor name russel give new leas life
52,52,102899,Ant-Man,37.692,notadult en sciencefiction action adventure superhero ant shrinking basedoncomic heist miniaturization miniaturepeople aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english,arm astonish abil shrink scale increas strength master thief scott lang must embrac help mentor doctor hank pym protect secret behind spectacular suit new gener tower threat seemingli insurmount obstacl pym lang must plan pull heist save world
53,53,238,The Godfather,158.448,notadult en drama crime basedonnovelorbook lossoflovedone loveatfirstsight italy symbolism patriarch europe organizedcrime mafia religion lawyer revengemotive crimefamily sicilianmafia religioushypocrisy gunviolence risetopower deadhorse gangviolence 1940s 1950s mafiawarenglish italian latin,span year 1945 1955 chronicl fiction corleon crime famili organ crime famili patriarch vito corleon bare surviv attempt life youngest son michael step take care killer launch campaign bloodi reveng
54,54,286217,The Martian,76.0,notadult en drama adventure sciencefiction spacecraft planetmars basedonnovelorbook nasa isolation botanist alone survival space engineering stranded astronaut struggleforsurvival duringcreditsstinger deepspace potatoes 2030senglish mandarin,man mission mar astronaut mark watney presum dead fierc storm left behind crew watney surviv find strand alon hostil planet meager suppli must draw upon ingenu wit spirit subsist find way signal earth aliv
55,55,105,Back to the Future,62.543,notadult en adventure comedy sciencefiction flyingcar raceagainsttime clocktower carrace lightning guitar plutonium inventor journeyinthepast invention timetravel bullying madscientist fishoutofwater terrorism teenagelove destiny hiddenidentity loveandromance teenagelife changingthepastorfuture 1950s tiempo amusedenglish,eighti teenag marti mcfli accident sent back time 1955 inadvert disrupt parent first meet attract mother romant interest marti must repair damag histori rekindl parent romanc help eccentr inventor friend doc brown return 1985
56,56,140607,Star Wars: The Force Awakens,66.772,notadult en adventure action sciencefiction android spacecraft spaceoperaenglish,thirti year defeat galact empir han solo alli face new threat evil kylo ren armi stormtroop
57,57,634649,Spider-Man: No Way Home,186.065,notadult en action adventure sciencefiction newyorkcity hero showdown magic lossoflovedone secretidentity superhero villain portal sequel vigilante superheroteam alternatereality maskedvigilante spiderweb aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu) fightforjustice teensuperhero superheroteamup returninghero crossover teamworkenglish tagalog,peter parker unmask longer abl separ normal life ask help doctor strang stake becom even danger forc discov truli mean
58,58,675,Harry Potter and the Order of the Phoenix,117.168,notadult en adventure fantasy witch dyinganddeath court magic prophecy lossoflovedone professor supernatural childhero schoolofwitchcraft blackmagic sorcery occult wizard christmas scholar mysticalland ministry basedonyoungadultnovel wizardingworldenglish,return fifth year studi hogwart harri stun find warn return lord voldemort ignor left choic harri take matter hand train small group student defend dark art
59,59,767,Harry Potter and the Half-Blood Prince,121.735,notadult en adventure fantasy witch dyinganddeath london england magic schoolofwitchcraft apparition curse teenagecrush school werewolf teenagelove luck wizard secretpast christmas basedonyoungadultnovel wizardingworldenglish,lord voldemort tighten grip muggl wizard world hogwart longer safe harri suspect peril may even lie within castl dumbledor intent upon prepar final battl fast approach togeth work find key unlock voldemort defens end dumbledor recruit old friend colleagu horac slughorn believ hold crucial inform even decis showdown loom romanc blossom harri ron hermion classmat love air danger lie ahead hogwart may never
60,60,263115,Logan,54.194,notadult en action drama sciencefiction future experiment immortality self-destruction cyborg dystopia superhero mutant roadtrip basedoncomic sequel superpower neo-western troubledpast agingsuperhero lifeonthemarginenglish spanish,near futur weari logan care ail professor x hideout mexican border logan attempt hide world legaci upend young mutant arriv pursu dark forc
61,61,12,Finding Nemo,55.456,notadult en animation family sydney australia parentchildrelationship anthropomorphism harbor underwater shark pelican fishtank greatbarrierreef seaturtle missingchild aftercreditsstinger duringcreditsstinger shorttermmemoryloss clownfish fathersonreunion protectivefatherenglish,nemo adventur young clownfish unexpectedli taken great barrier reef home dentist offic aquarium worrisom father marlin friendli forget fish dori bring nemo home meet vegetarian shark surfer dude turtl hypnot jellyfish hungri seagul along way
62,62,346364,It,74.73,notadult en horror fantasy smalltown basedonnovelorbook clown bullying abandonedhouse comingofage flashback murder balloon maine school creature fear summer killer missingperson deathofbrother well child demonic townhistory anxious intenseenglish,small town main seven children known loser club come face face life problem bulli monster take shape clown call pennywis
63,63,245891,John Wick,55.739,notadult en action thriller hitman bratva(russianmafia) gangster secretorganization revenge murder dog retired widowerhungarian english russian,john wick come retir track gangster took everyth
64,64,259316,Fantastic Beasts and Where to Find Them,46.103,notadult en fantasy adventure family witch newyorkcity robbery escape teleportation magic suitcase mistake spinoff subwaystation centralpark wizard goblin magicalcreature 1920s wizardingworldenglish,1926 newt scamand arriv magic congress unit state america magic expand briefcas hous number danger creatur habitat creatur escap briefcas send american wizard author newt threaten strain even state magic relat
65,65,12444,Harry Potter and the Deathly Hallows: Part 1,111.984,notadult en adventure fantasy witch friendship london england corruption escape teleportation isolation magic bravery radio roadtrip shelter tension attack werewolf roadmovie wizard christmas basedonyoungadultnovel wizardingworldenglish,harri ron hermion walk away last year hogwart find destroy remain horcrux put end voldemort bid immort harri belov dumbledor dead voldemort unscrupul death eater loos world danger ever
66,66,354912,Coco,166.578,notadult en family animation fantasy music comedy adventure skeleton mexico guitar afterlife musician holiday singer lifeafterdeath child dayofthedead pixarenglish spanish,despit famili baffl ban music miguel dream becom accomplish musician like idol ernesto de la cruz desper prove talent miguel find stun color land dead follow mysteri chain event along way meet charm trickster hector togeth set extraordinari journey unlock real stori behind miguel famili histori
67,67,100402,Captain America: The Winter Soldier,31.482,notadult en action adventure sciencefiction future washingtondc usa superhero shield basedoncomic aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu) politicalthrillerenglish,cataclysm event new york aveng steve roger aka captain america live quietli washington tri adjust modern world colleagu come attack steve becom embroil web intrigu threaten put world risk join forc black widow captain america struggl expos conspiraci fight profession assassin sent silenc everi turn full scope villain plot reveal captain america black widow enlist help new alli falcon howev soon find unexpect formid winter soldier
68,68,557,Spider-Man,63.478,notadult en fantasy action newyorkcity adolescence photographer lossoflovedone photography secretidentity hostility superhero spider badboss villain basedoncomic teenageboy teenagelove evil supervillain takingresponsibilityenglish,bitten genet alter spider oscorp nerdi endear high school student peter parker endow amaz power becom superhero known
69,69,10681,WALL·E,58.517,notadult en animation family sciencefiction garbage dystopia spacetravel distantfuture loneliness robot aftercreditsstinger duringcreditsstingerenglish,mankind leav earth somebodi forgot turn last robot hundr year built discov new purpos life meet sleek search robot name eve eve come realiz inadvert stumbl upon key planet futur race back space report human meanwhil chase eve across galaxi set motion one imagin adventur ever brought big screen
70,70,210577,Gone Girl,46.611,notadult en mystery thriller drama infidelity basedonnovelorbook wife marriagecrisis investigation disappearance psychologicalthriller whodunit missingperson searchparty criminallawyer murdersuspect missingwife perspective manipulativewoman killedduringsex dramatic amusedenglish,wife disappear becom focu intens media circu man see spotlight turn suspect may innoc
71,71,49051,The Hobbit: An Unexpected Journey,83.524,notadult en adventure fantasy action basedonnovelorbook orcs elves dwarf horsebackriding sword burglar legend riddle mountain travel troll creature thunderstorm fantasyworld wizard epicbattle lostring journey goblin tunnel undergroundlake buriedtreasure invisibility quest frantic goodversusevil backstory epicfantasy fantasycreature dwarves epicquestenglish,bilbo baggin hobbit enjoy quiet life swept epic quest gandalf grey thirteen dwarv seek reclaim mountain home smaug dragon
72,72,585,"Monsters, Inc.",86.936,notadult en animation comedy family monster panic cheating kidnapping door infant villain portal rivalry energysupply friends hijinks bestfriend chameleon family parallelworld conveyorbelt invisibility energycompany conspiratorsenglish,lovabl sulley wisecrack sidekick mike wazowski top scare team monster factori monstropoli littl girl name boo wander world monster scare silli sulley mike keep sight get back home
73,73,862,Toy Story,78.404,notadult en animation adventure family comedy rescue friendship mission martialarts jealousy bullying elementaryschool rivalry anthropomorphism friends computeranimation buddy walkietalkie toycar boynextdoor newtoy neighborhood toycomestolife resourcefulnessenglish,led woodi andi toy live happili room andi birthday bring buzz lightyear onto scene afraid lose place andi heart woodi plot buzz circumst separ buzz woodi owner duo eventu learn put asid differ
74,74,281957,The Revenant,36.747,notadult en western drama adventure rape basedonnovelorbook parentchildrelationship winter childmurder mountain grizzlybear wilderness gore nativeamerican forest basedontruestory liar furtrapping frontier remake revenge survival murder bear snow scalping nature wildwest bearattack indianattack deadhorse starvation 19thcentury wolvesenglish french,1820 frontiersman hugh glass set path vengeanc left dead bear maul
75,75,209112,Batman v Superman: Dawn of Justice,78.589,notadult en action adventure fantasy superhero basedoncomic revenge vigilante leadingman superpower questioning philosophical dcextendeduniverse(dceu) complex manvsman leadingmen herovsheroenglish,fear action super hero left uncheck gotham citi formid forc vigilant take metropoli rever savior world wrestl sort hero realli need batman superman war one anoth new threat quickli aris put mankind greater danger ever known
76,76,8587,The Lion King,87.384,notadult en family animation drama fathermurder lossoflovedone africa lion manipulation redemption musical uncle murder warthog shaman king scar family hyena meerkat nature mandrill powerfulenglish,young lion princ cast pride cruel uncl claim kill father uncl rule iron paw princ grow beyond savannah live philosophi worri rest day past come haunt young princ must decid fate remain outcast face demon becom need
77,77,98,Gladiator,53.587,notadult en action drama adventure epic gladiator rome italy arena senate romanempire parentchildrelationship emperor slavery ancientrome revenge battlefield slaveauction historicalfiction ancientworld combat chariot philosopher barbarianhorde 2ndcentury successor commodus maximusenglish,year 180 death emperor marcu aureliu throw roman empir chao maximu one roman armi capabl trust gener key advisor emperor marcu deviou son commodu ascend throne maximu set execut escap captur slave trader renam spaniard forc becom gladiat maximu must battl death men amus pay audienc
78,78,37165,The Truman Show,42.954,notadult en comedy drama paranoia dystopia suspicion videosurveillance deception hiddencamera simulatedreality televisionproducer tvshowinfilm makebelieveenglish,truman burbank star truman show realiti tv show broadcast everi aspect life without knowledg entir life unend soap opera consumpt rest world everyon know includ wife best friend realli actor paid part life
